Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1862,21,22/08/2021 18:20,Wrigley Field,Chicago Cubs,Kansas City Royals,1 - 9
1863,21,22/08/2021 19:10,Coors Field,Colorado Rockies,Arizona Diamondbacks,4 - 8
1864,21,22/08/2021 19:40,Petco Park,San Diego Padres,Philadelphia Phillies,4 - 7
1865,21,22/08/2021 20:07,Oakland Coliseum,Oakland Athletics,San Francisco Giants,1 - 2
1866,21,22/08/2021 20:10,Dodger Stadium,Los Angeles Dodgers,New York Mets,2 - 7
1867,21,22/08/2021 23:10,BB&T Ballpark,Cleveland Indians,Los Angeles Angels,3 - 0
1868,21,23/08/2021 17:10,Fenway Park,Boston Red Sox,Texas Rangers,8 - 4
1869,21,23/08/2021 23:05,PNC Park,Pittsburgh Pirates,Arizona Diamondbacks,6 - 5
1870,21,23/08/2021 23:07,Rogers Centre,Toronto Blue Jays,Chicago White Sox,2 - 1
1871,21,23/08/2021 23:20,Truist Park,Atlanta Braves,New York Yankees,1 - 5
1872,21,24/08/2021 00:05,Wrigley Field,Chicago Cubs,Colorado Rockies,6 - 4
1873,21,24/08/2021 00:10,Minute Maid Park,Houston Astros,Kansas City Royals,1 - 7
1874,21,24/08/2021 01:40,Oakland Coliseum,Oakland Athletics,Seattle Mariners,3 - 5
1875,21,24/08/2021 19:37,Oakland Coliseum,Oakland Athletics,Seattle Mariners,1 - 5
1876,21,24/08/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,8 - 14
1877,21,24/08/2021 23:05,PNC Park,Pittsburgh Pirates,Arizona Diamondbacks,4 - 2
1878,21,24/08/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Tampa Bay Rays,1 - 3
1879,21,24/08/2021 23:07,Rogers Centre,Toronto Blue Jays,Chicago White Sox,2 - 5
1880,21,24/08/2021 23:10,Citi Field,New York Mets,San Francisco Giants,0 - 8
1881,21,24/08/2021 23:10,Progressive Field,Cleveland Indians,Texas Rangers,3 - 7
1882,21,24/08/2021 23:10,Fenway Park,Boston Red Sox,Minnesota Twins,11 - 9
1883,21,24/08/2021 23:10,loanDepot park,Miami Marlins,Washington Nationals,1 - 5
1884,21,24/08/2021 23:20,Truist Park,Atlanta Braves,New York Yankees,4 - 5
1885,21,24/08/2021 23:45,Busch Stadium,St. Louis Cardinals,Detroit Tigers,3 - 4
1886,21,25/08/2021 00:10,Minute Maid Park,Houston Astros,Kansas City Royals,4 - 0
1887,21,25/08/2021 00:10,American Family Field,Milwaukee Brewers,Cincinnati Reds,7 - 4
1888,21,25/08/2021 02:10,Petco Park,San Diego Padres,Los Angeles Dodgers,2 - 5
1889,22,25/08/2021 17:15,Busch Stadium,St. Louis Cardinals,Detroit Tigers,3 - 2
1890,22,25/08/2021 18:10,Minute Maid Park,Houston Astros,Kansas City Royals,6 - 5
1891,22,25/08/2021 18:20,Wrigley Field,Chicago Cubs,Colorado Rockies,5 - 2
1892,22,25/08/2021 22:30,Wrigley Field,Chicago Cubs,Colorado Rockies,10 - 13
1893,22,25/08/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,10 - 6
1894,22,25/08/2021 23:05,PNC Park,Pittsburgh Pirates,Arizona Diamondbacks,2 - 5
1895,22,25/08/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Tampa Bay Rays,4 - 7
1896,22,25/08/2021 23:07,Rogers Centre,Toronto Blue Jays,Chicago White Sox,3 - 1
1897,22,25/08/2021 23:10,Citi Field,New York Mets,San Francisco Giants,2 - 3
1898,22,25/08/2021 23:10,Progressive Field,Cleveland Indians,Texas Rangers,7 - 2
1899,22,25/08/2021 23:10,Fenway Park,Boston Red Sox,Minnesota Twins,6 - 9
1900,22,25/08/2021 23:10,loanDepot park,Miami Marlins,Washington Nationals,4 - 3
1901,22,26/08/2021 00:10,American Family Field,Milwaukee Brewers,Cincinnati Reds,4 - 1
1902,22,26/08/2021 02:10,Petco Park,San Diego Padres,Los Angeles Dodgers,3 - 5
1903,22,26/08/2021 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Los Angeles Angels,13 - 1
1904,22,26/08/2021 18:10,American Family Field,Milwaukee Brewers,Cincinnati Reds,1 - 5
1905,22,26/08/2021 19:07,Rogers Centre,Toronto Blue Jays,Chicago White Sox,7 - 10
1906,22,26/08/2021 23:05,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,11 - 7
1907,22,26/08/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Arizona Diamondbacks,7 - 8
1908,22,26/08/2021 23:10,Citi Field,New York Mets,San Francisco Giants,2 - 3
1909,22,26/08/2021 23:10,Progressive Field,Cleveland Indians,Texas Rangers,10 - 6
1910,22,26/08/2021 23:10,Fenway Park,Boston Red Sox,Minnesota Twins,12 - 2
1911,22,26/08/2021 23:10,loanDepot park,Miami Marlins,Washington Nationals,7 - 5
1912,22,27/08/2021 01:10,Petco Park,San Diego Padres,Los Angeles Dodgers,0 - 4
1913,22,27/08/2021 01:40,Oakland Coliseum,Oakland Athletics,New York Yankees,6 - 7
1914,22,27/08/2021 02:10,T-Mobile Park,Seattle Mariners,Kansas City Royals,4 - 6
1915,22,27/08/2021 23:05,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,3 - 4
1916,22,27/08/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,3 - 6
1917,22,27/08/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Arizona Diamondbacks,7 - 6
1918,22,27/08/2021 23:10,Progressive Field,Cleveland Indians,Boston Red Sox,3 - 4
1919,22,27/08/2021 23:10,Citi Field,New York Mets,Washington Nationals,1 - 2
1920,22,27/08/2021 23:10,Comerica Park,Detroit Tigers,Toronto Blue Jays,2 - 1
1921,22,27/08/2021 23:10,loanDepot park,Miami Marlins,Cincinnati Reds,0 - 6
1922,22,27/08/2021 23:20,Truist Park,Atlanta Braves,San Francisco Giants,6 - 5
1923,22,28/08/2021 00:05,Globe Life Field,Texas Rangers,Houston Astros,4 - 5
1924,22,28/08/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Chicago Cubs,17 - 13
1925,22,28/08/2021 00:10,Target Field,Minnesota Twins,Milwaukee Brewers,2 - 0
1926,22,28/08/2021 01:38,Angel Stadium,Los Angeles Angels,San Diego Padres,0 - 5
1927,22,28/08/2021 01:40,Oakland Coliseum,Oakland Athletics,New York Yankees,2 - 8
1928,22,28/08/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,2 - 4
1929,22,28/08/2021 02:10,T-Mobile Park,Seattle Mariners,Kansas City Royals,7 - 8
1930,22,28/08/2021 20:05,Progressive Field,Cleveland Indians,Boston Red Sox,3 - 5
1931,22,28/08/2021 20:07,Oakland Coliseum,Oakland Athletics,New York Yankees,3 - 2
1932,22,28/08/2021 20:10,T-Mobile Park,Seattle Mariners,Kansas City Royals,2 - 4
1933,22,28/08/2021 22:05,Citizens Bank Park,Philadelphia Phillies,Arizona Diamondbacks,7 - 0
1934,22,28/08/2021 22:10,Comerica Park,Detroit Tigers,Toronto Blue Jays,2 - 3
1935,22,28/08/2021 22:10,loanDepot park,Miami Marlins,Cincinnati Reds,6 - 1
1936,22,28/08/2021 23:05,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,0 - 13
1937,22,28/08/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,3 - 4
1938,22,28/08/2021 23:05,Globe Life Field,Texas Rangers,Houston Astros,2 - 5
1939,22,28/08/2021 23:10,Citi Field,New York Mets,Washington Nationals,5 - 3
1940,22,28/08/2021 23:10,Guaranteed Rate Field,Chicago White Sox,Chicago Cubs,0 - 7
1941,22,28/08/2021 23:10,Target Field,Minnesota Twins,Milwaukee Brewers,6 - 4
1942,22,28/08/2021 23:20,Truist Park,Atlanta Braves,San Francisco Giants,0 - 5
1943,22,29/08/2021 01:07,Angel Stadium,Los Angeles Angels,San Diego Padres,10 - 2
1944,22,29/08/2021 01:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,5 - 2
1945,22,29/08/2021 17:05,PNC Park,Pittsburgh Pirates,St. Louis Cardinals,4 - 3
1946,22,29/08/2021 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Tampa Bay Rays,8 - 12
1947,22,29/08/2021 17:05,Citizens Bank Park,Philadelphia Phillies,Arizona Diamondbacks,7 - 4
1948,22,29/08/2021 17:10,Progressive Field,Cleveland Indians,Boston Red Sox,7 - 5
1949,22,29/08/2021 17:10,Citi Field,New York Mets,Washington Nationals,9 - 4
1950,22,29/08/2021 17:10,Comerica Park,Detroit Tigers,Toronto Blue Jays,1 - 2
1951,22,29/08/2021 17:10,loanDepot park,Miami Marlins,Cincinnati Reds,2 - 1
1952,22,29/08/2021 17:20,Truist Park,Atlanta Braves,San Francisco Giants,9 - 0
1953,22,29/08/2021 18:10,Guaranteed Rate Field,Chicago White Sox,Chicago Cubs,13 - 1
1954,22,29/08/2021 18:10,Target Field,Minnesota Twins,Milwaukee Brewers,2 - 6
1955,22,29/08/2021 18:35,Globe Life Field,Texas Rangers,Houston Astros,13 - 2
1956,22,29/08/2021 20:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,0 - 5
1957,22,29/08/2021 20:10,T-Mobile Park,Seattle Mariners,Kansas City Royals,4 - 3
1958,22,29/08/2021 23:08,Oakland Coliseum,Oakland Athletics,New York Yankees,3 - 1
1959,22,30/08/2021 18:10,Comerica Park,Detroit Tigers,Minnesota Twins,2 - 3
1960,22,30/08/2021 22:40,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,1 - 3
1961,22,30/08/2021 23:05,Nationals Park,Washington Nationals,Philadelphia Phillies,4 - 7
1962,22,30/08/2021 23:07,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,7 - 3
1963,22,30/08/2021 23:10,Tropicana Field,Tampa Bay Rays,Boston Red Sox,6 - 1
1964,22,31/08/2021 00:05,Globe Life Field,Texas Rangers,Colorado Rockies,4 - 3
1965,22,31/08/2021 01:38,Angel Stadium,Los Angeles Angels,New York Yankees,8 - 7
1966,22,31/08/2021 01:40,Chase Field,Arizona Diamondbacks,San Diego Padres,5 - 7
1967,22,31/08/2021 01:45,Oracle Park,San Francisco Giants,Milwaukee Brewers,1 - 3
1968,22,31/08/2021 02:10,T-Mobile Park,Seattle Mariners,Houston Astros,3 - 4
1969,22,31/08/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,5 - 3
1970,22,31/08/2021 17:10,Citi Field,New York Mets,Miami Marlins,6 - 5
1971,22,31/08/2021 23:05,Nationals Park,Washington Nationals,Philadelphia Phillies,6 - 12
1972,22,31/08/2021 23:07,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,2 - 4
1973,22,31/08/2021 23:10,Comerica Park,Detroit Tigers,Oakland Athletics,3 - 9
1974,22,31/08/2021 23:10,Tropicana Field,Tampa Bay Rays,Boston Red Sox,8 - 5
1975,22,31/08/2021 23:10,Citi Field,New York Mets,Miami Marlins,3 - 1
1976,22,01/09/2021 00:05,Globe Life Field,Texas Rangers,Colorado Rockies,4 - 3
1977,22,01/09/2021 00:10,Kauffman Stadium,Kansas City Royals,Cleveland Indians,2 - 7
1978,22,01/09/2021 00:10,Target Field,Minnesota Twins,Chicago Cubs,1 - 3
1979,22,01/09/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Pittsburgh Pirates,4 - 2
1980,22,01/09/2021 01:38,Angel Stadium,Los Angeles Angels,New York Yankees,6 - 4
1981,22,01/09/2021 01:40,Chase Field,Arizona Diamondbacks,San Diego Padres,0 - 3
1982,22,01/09/2021 01:45,Oracle Park,San Francisco Giants,Milwaukee Brewers,2 - 6
1983,22,01/09/2021 02:10,T-Mobile Park,Seattle Mariners,Houston Astros,4 - 0
1984,22,01/09/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,3 - 2
1985,23,01/09/2021 17:10,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,4 - 5
1987,23,01/09/2021 18:05,Globe Life Field,Texas Rangers,Colorado Rockies,5 - 9
1988,23,01/09/2021 19:40,Chase Field,Arizona Diamondbacks,San Diego Padres,8 - 3
1989,23,01/09/2021 20:10,T-Mobile Park,Seattle Mariners,Houston Astros,1 - 0
1986,23,01/09/2021 22:40,Great American Ball Park,Cincinnati Reds,St. Louis Cardinals,12 - 2
1990,23,01/09/2021 23:07,Rogers Centre,Toronto Blue Jays,Baltimore Orioles,5 - 4
1991,23,01/09/2021 23:07,Angel Stadium,Los Angeles Angels,New York Yankees,1 - 4
1992,23,01/09/2021 23:10,Comerica Park,Detroit Tigers,Oakland Athletics,8 - 6
1993,23,01/09/2021 23:10,Tropicana Field,Tampa Bay Rays,Boston Red Sox,2 - 3
1994,23,02/09/2021 00:10,Kauffman Stadium,Kansas City Royals,Cleveland Indians,3 - 5
1995,23,02/09/2021 00:10,Target Field,Minnesota Twins,Chicago Cubs,0 - 3
1996,23,02/09/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Pittsburgh Pirates,6 - 3
1997,23,02/09/2021 01:45,Oracle Park,San Francisco Giants,Milwaukee Brewers,2 - 5
1998,23,02/09/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Atlanta Braves,4 - 3
1999,23,02/09/2021 17:05,Nationals Park,Washington Nationals,Philadelphia Phillies,6 - 7
2000,23,02/09/2021 17:10,Comerica Park,Detroit Tigers,Oakland Athletics,6 - 8
2001,23,02/09/2021 19:45,Oracle Park,San Francisco Giants,Milwaukee Brewers,5 - 1
2002,23,02/09/2021 23:10,Tropicana Field,Tampa Bay Rays,Boston Red Sox,0 - 4
2003,23,02/09/2021 23:10,Citi Field,New York Mets,Miami Marlins,4 - 3
2004,23,03/09/2021 00:05,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,6 - 5
2005,23,03/09/2021 00:10,Kauffman Stadium,Kansas City Royals,Cleveland Indians,2 - 4
2006,23,03/09/2021 00:40,Coors Field,Colorado Rockies,Atlanta Braves,5 - 6
2007,23,03/09/2021 18:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,6 - 5
2008,23,03/09/2021 23:05,Nationals Park,Washington Nationals,New York Mets,2 - 6
2009,23,03/09/2021 23:05,Yankee Stadium,New York Yankees,Baltimore Orioles,4 - 3
2010,23,03/09/2021 23:07,Rogers Centre,Toronto Blue Jays,Oakland Athletics,11 - 10
2011,23,03/09/2021 23:10,Fenway Park,Boston Red Sox,Cleveland Indians,8 - 5
2012,23,03/09/2021 23:10,Great American Ball Park,Cincinnati Reds,Detroit Tigers,5 - 15
2013,23,03/09/2021 23:10,Tropicana Field,Tampa Bay Rays,Minnesota Twins,5 - 3
2014,23,03/09/2021 23:10,loanDepot park,Miami Marlins,Philadelphia Phillies,10 - 3
2015,23,04/09/2021 00:10,Kauffman Stadium,Kansas City Royals,Chicago White Sox,7 - 2
2016,23,04/09/2021 00:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,4 - 15
2017,23,04/09/2021 00:40,Coors Field,Colorado Rockies,Atlanta Braves,4 - 3
2018,23,04/09/2021 01:38,Angel Stadium,Los Angeles Angels,Texas Rangers,3 - 2
2019,23,04/09/2021 01:40,Chase Field,Arizona Diamondbacks,Seattle Mariners,5 - 6
2020,23,04/09/2021 01:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,3 - 2
2021,23,04/09/2021 02:10,Petco Park,San Diego Padres,Houston Astros,3 - 6
2022,23,04/09/2021 17:05,Nationals Park,Washington Nationals,New York Mets,9 - 11
2024,23,04/09/2021 17:05,Yankee Stadium,New York Yankees,Baltimore Orioles,3 - 4
2025,23,04/09/2021 18:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,7 - 6
2026,23,04/09/2021 19:07,Rogers Centre,Toronto Blue Jays,Oakland Athletics,10 - 8
2027,23,04/09/2021 20:05,Tropicana Field,Tampa Bay Rays,Minnesota Twins,11 - 4
2028,23,04/09/2021 20:10,Fenway Park,Boston Red Sox,Cleveland Indians,4 - 3
2023,23,04/09/2021 22:05,Nationals Park,Washington Nationals,New York Mets,4 - 3
2029,23,04/09/2021 22:10,loanDepot park,Miami Marlins,Philadelphia Phillies,3 - 2
2030,23,04/09/2021 23:10,Great American Ball Park,Cincinnati Reds,Detroit Tigers,7 - 4
2031,23,04/09/2021 23:10,Kauffman Stadium,Kansas City Royals,Chicago White Sox,7 - 10
2032,23,04/09/2021 23:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,4 - 0
2033,23,05/09/2021 00:10,Chase Field,Arizona Diamondbacks,Seattle Mariners,5 - 8
2034,23,05/09/2021 00:10,Coors Field,Colorado Rockies,Atlanta Braves,7 - 6
2035,23,05/09/2021 00:40,Petco Park,San Diego Padres,Houston Astros,10 - 2
2036,23,05/09/2021 01:05,Oracle Park,San Francisco Giants,Los Angeles Dodgers,1 - 6
2037,23,05/09/2021 01:07,Angel Stadium,Los Angeles Angels,Texas Rangers,4 - 1
2038,23,05/09/2021 17:05,Nationals Park,Washington Nationals,New York Mets,6 - 13
2039,23,05/09/2021 17:05,Yankee Stadium,New York Yankees,Baltimore Orioles,7 - 8
2040,23,05/09/2021 17:07,Rogers Centre,Toronto Blue Jays,Oakland Athletics,8 - 0
2041,23,05/09/2021 17:10,Fenway Park,Boston Red Sox,Cleveland Indians,5 - 11
2042,23,05/09/2021 17:10,Great American Ball Park,Cincinnati Reds,Detroit Tigers,1 - 4
2043,23,05/09/2021 17:10,Tropicana Field,Tampa Bay Rays,Minnesota Twins,5 - 6
2044,23,05/09/2021 17:10,loanDepot park,Miami Marlins,Philadelphia Phillies,3 - 4
2045,23,05/09/2021 18:10,Kauffman Stadium,Kansas City Royals,Chicago White Sox,6 - 0
2046,23,05/09/2021 18:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,6 - 5
2047,23,05/09/2021 18:20,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,11 - 8
2048,23,05/09/2021 19:10,Coors Field,Colorado Rockies,Atlanta Braves,2 - 9
2049,23,05/09/2021 20:07,Angel Stadium,Los Angeles Angels,Texas Rangers,3 - 7
2050,23,05/09/2021 20:10,Petco Park,San Diego Padres,Houston Astros,4 - 3
2051,23,05/09/2021 20:10,Chase Field,Arizona Diamondbacks,Seattle Mariners,4 - 10
2052,23,05/09/2021 23:08,Oracle Park,San Francisco Giants,Los Angeles Dodgers,6 - 4
2053,23,06/09/2021 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,2 - 3
2054,23,06/09/2021 17:05,Nationals Park,Washington Nationals,New York Mets,4 - 3
2055,23,06/09/2021 17:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,0 - 8
2056,23,06/09/2021 17:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,10 - 11
2057,23,06/09/2021 17:35,PNC Park,Pittsburgh Pirates,Detroit Tigers,6 - 3
2058,23,06/09/2021 18:10,American Family Field,Milwaukee Brewers,Philadelphia Phillies,0 - 12
2059,23,06/09/2021 18:20,Wrigley Field,Chicago Cubs,Cincinnati Reds,4 - 3
2060,23,06/09/2021 20:10,Coors Field,Colorado Rockies,San Francisco Giants,5 - 10
2061,23,06/09/2021 20:15,Busch Stadium,St. Louis Cardinals,Los Angeles Dodgers,1 - 5
2062,23,06/09/2021 22:10,Progressive Field,Cleveland Indians,Minnesota Twins,2 - 5
2063,23,06/09/2021 23:10,Minute Maid Park,Houston Astros,Seattle Mariners,11 - 2
2064,23,07/09/2021 01:07,Angel Stadium,Los Angeles Angels,Texas Rangers,0 - 4
2065,23,07/09/2021 22:10,Progressive Field,Cleveland Indians,Minnesota Twins,0 - 3
2066,23,07/09/2021 22:35,PNC Park,Pittsburgh Pirates,Detroit Tigers,3 - 2
2067,23,07/09/2021 22:40,loanDepot park,Miami Marlins,New York Mets,4 - 9
2068,23,07/09/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,7 - 3
2069,23,07/09/2021 23:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,1 - 5
2070,23,07/09/2021 23:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,7 - 12
2071,23,07/09/2021 23:20,Truist Park,Atlanta Braves,Washington Nationals,8 - 5
2072,23,07/09/2021 23:40,Wrigley Field,Chicago Cubs,Cincinnati Reds,3 - 4
2073,23,07/09/2021 23:40,American Family Field,Milwaukee Brewers,Philadelphia Phillies,10 - 0
2074,23,07/09/2021 23:45,Busch Stadium,St. Louis Cardinals,Los Angeles Dodgers,2 - 7
2075,23,08/09/2021 00:10,Minute Maid Park,Houston Astros,Seattle Mariners,5 - 4
2076,23,08/09/2021 00:40,Coors Field,Colorado Rockies,San Francisco Giants,3 - 12
2077,23,08/09/2021 01:40,Chase Field,Arizona Diamondbacks,Texas Rangers,1 - 3
2078,23,08/09/2021 01:40,Oakland Coliseum,Oakland Athletics,Chicago White Sox,3 - 6
2079,23,08/09/2021 02:10,Petco Park,San Diego Padres,Los Angeles Angels,0 - 4
2080,24,08/09/2021 18:10,Minute Maid Park,Houston Astros,Seattle Mariners,5 - 8
2081,24,08/09/2021 19:10,Coors Field,Colorado Rockies,San Francisco Giants,4 - 7
2082,24,08/09/2021 19:40,Chase Field,Arizona Diamondbacks,Texas Rangers,5 - 8
2083,24,08/09/2021 22:10,Progressive Field,Cleveland Indians,Minnesota Twins,0 - 3
2084,24,08/09/2021 22:35,PNC Park,Pittsburgh Pirates,Detroit Tigers,1 - 5
2085,24,08/09/2021 22:40,loanDepot park,Miami Marlins,New York Mets,2 - 1
2086,24,08/09/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,9 - 8
2087,24,08/09/2021 23:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,3 - 6
2088,24,08/09/2021 23:10,Fenway Park,Boston Red Sox,Tampa Bay Rays,2 - 1
2089,24,08/09/2021 23:20,Truist Park,Atlanta Braves,Washington Nationals,2 - 4
2090,24,08/09/2021 23:40,Wrigley Field,Chicago Cubs,Cincinnati Reds,4 - 1
2091,24,08/09/2021 23:40,American Family Field,Milwaukee Brewers,Philadelphia Phillies,4 - 3
2092,24,08/09/2021 23:45,Busch Stadium,St. Louis Cardinals,Los Angeles Dodgers,5 - 4
2093,24,09/09/2021 00:10,Petco Park,San Diego Padres,Los Angeles Angels,8 - 5
2094,24,09/09/2021 01:40,Oakland Coliseum,Oakland Athletics,Chicago White Sox,5 - 1
2095,24,09/09/2021 17:15,Busch Stadium,St. Louis Cardinals,Los Angeles Dodgers,2 - 1
2096,24,09/09/2021 19:37,Oakland Coliseum,Oakland Athletics,Chicago White Sox,3 - 1
2097,24,09/09/2021 22:10,Progressive Field,Cleveland Indians,Minnesota Twins,4 - 1
2098,24,09/09/2021 22:40,loanDepot park,Miami Marlins,New York Mets,3 - 2
2099,24,09/09/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Kansas City Royals,0 - 6
2100,24,09/09/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,3 - 4
2101,24,09/09/2021 23:05,Yankee Stadium,New York Yankees,Toronto Blue Jays,4 - 6
2102,24,09/09/2021 23:20,Truist Park,Atlanta Braves,Washington Nationals,7 - 6
2103,24,10/09/2021 18:20,Wrigley Field,Chicago Cubs,San Francisco Giants,1 - 6
2104,24,10/09/2021 22:35,PNC Park,Pittsburgh Pirates,Washington Nationals,4 - 3
2105,24,10/09/2021 23:05,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,6 - 3
2106,24,10/09/2021 23:05,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,2 - 11
2107,24,10/09/2021 23:10,Comerica Park,Detroit Tigers,Tampa Bay Rays,10 - 4
2108,24,10/09/2021 23:10,Citi Field,New York Mets,New York Yankees,10 - 3
2109,24,10/09/2021 23:10,Progressive Field,Cleveland Indians,Milwaukee Brewers,3 - 10
2110,24,10/09/2021 23:20,Truist Park,Atlanta Braves,Miami Marlins,6 - 2
2111,24,11/09/2021 00:10,Minute Maid Park,Houston Astros,Los Angeles Angels,10 - 5
2112,24,11/09/2021 00:10,Target Field,Minnesota Twins,Kansas City Royals,4 - 6
2113,24,11/09/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Boston Red Sox,4 - 3
2114,24,11/09/2021 00:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,2 - 4
2115,24,11/09/2021 01:40,Oakland Coliseum,Oakland Athletics,Texas Rangers,10 - 5
2116,24,11/09/2021 02:10,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,3 - 0
2117,24,11/09/2021 02:10,T-Mobile Park,Seattle Mariners,Arizona Diamondbacks,5 - 4
2118,24,11/09/2021 18:20,Wrigley Field,Chicago Cubs,San Francisco Giants,4 - 15
2119,24,11/09/2021 20:07,Oakland Coliseum,Oakland Athletics,Texas Rangers,6 - 8
2120,24,11/09/2021 20:35,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,10 - 11
2121,24,11/09/2021 20:40,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,2 - 11
2122,24,11/09/2021 22:05,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,6 - 1
2123,24,11/09/2021 22:10,Comerica Park,Detroit Tigers,Tampa Bay Rays,2 - 7
2124,24,11/09/2021 22:10,Progressive Field,Cleveland Indians,Milwaukee Brewers,0 - 3
2125,24,11/09/2021 22:35,PNC Park,Pittsburgh Pirates,Washington Nationals,10 - 7
2126,24,11/09/2021 23:10,Minute Maid Park,Houston Astros,Los Angeles Angels,2 - 4
2127,24,11/09/2021 23:10,Target Field,Minnesota Twins,Kansas City Royals,9 - 2
2128,24,11/09/2021 23:10,Guaranteed Rate Field,Chicago White Sox,Boston Red Sox,8 - 9
2129,24,11/09/2021 23:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,6 - 4
2130,24,11/09/2021 23:20,Truist Park,Atlanta Braves,Miami Marlins,4 - 6
2131,24,11/09/2021 23:45,Citi Field,New York Mets,New York Yankees,7 - 8
2132,24,12/09/2021 01:10,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,5 - 4
2133,24,12/09/2021 01:10,T-Mobile Park,Seattle Mariners,Arizona Diamondbacks,3 - 7
2134,24,12/09/2021 16:10,Comerica Park,Detroit Tigers,Tampa Bay Rays,8 - 7
2135,24,12/09/2021 17:05,PNC Park,Pittsburgh Pirates,Washington Nationals,2 - 6
2136,24,12/09/2021 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Toronto Blue Jays,7 - 22
2137,24,12/09/2021 17:05,Citizens Bank Park,Philadelphia Phillies,Colorado Rockies,4 - 5
2138,24,12/09/2021 17:10,Progressive Field,Cleveland Indians,Milwaukee Brewers,1 - 11
2139,24,12/09/2021 17:20,Truist Park,Atlanta Braves,Miami Marlins,5 - 3
2140,24,12/09/2021 18:10,Minute Maid Park,Houston Astros,Los Angeles Angels,3 - 1
2141,24,12/09/2021 18:10,Target Field,Minnesota Twins,Kansas City Royals,3 - 5
2142,24,12/09/2021 18:10,Guaranteed Rate Field,Chicago White Sox,Boston Red Sox,2 - 1
2143,24,12/09/2021 18:15,Busch Stadium,St. Louis Cardinals,Cincinnati Reds,2 - 0
2144,24,12/09/2021 18:20,Wrigley Field,Chicago Cubs,San Francisco Giants,5 - 6
2145,24,12/09/2021 20:07,Oakland Coliseum,Oakland Athletics,Texas Rangers,3 - 4
2146,24,12/09/2021 20:10,Dodger Stadium,Los Angeles Dodgers,San Diego Padres,8 - 0
2147,24,12/09/2021 20:10,T-Mobile Park,Seattle Mariners,Arizona Diamondbacks,4 - 5
