Match Number,Round Number,Date,Location,Home Team,Away Team,Result
145,2,13/04/2021 18:10,Target Field,Minnesota Twins,Boston Red Sox,2 - 4
146,2,13/04/2021 19:40,Chase Field,Arizona Diamondbacks,Oakland Athletics,5 - 7
147,2,13/04/2021 20:05,Oriole Park at Camden Yards,Baltimore Orioles,Seattle Mariners,3 - 4
148,2,13/04/2021 20:10,Oriole Park at Camden Yards,Baltimore Orioles,Seattle Mariners,7 - 6
149,2,13/04/2021 20:10,Citi Field,New York Mets,Philadelphia Phillies,4 - 3
150,2,13/04/2021 20:15,Citi Field,New York Mets,Philadelphia Phillies,4 - 0
151,2,13/04/2021 22:35,PNC Park,Pittsburgh Pirates,San Diego Padres,8 - 4
152,2,13/04/2021 23:07,TD Ballpark,Toronto Blue Jays,New York Yankees,7 - 3
153,2,13/04/2021 23:10,Tropicana Field,Tampa Bay Rays,Texas Rangers,3 - 8
154,2,13/04/2021 23:20,Truist Park,Atlanta Braves,Miami Marlins,8 - 14
155,2,13/04/2021 23:40,American Family Field,Milwaukee Brewers,Chicago Cubs,2 - 3
156,2,13/04/2021 23:45,Busch Stadium,St. Louis Cardinals,Washington Nationals,14 - 3
157,2,14/04/2021 00:10,Minute Maid Park,Houston Astros,Detroit Tigers,2 - 8
158,2,14/04/2021 00:10,Kauffman Stadium,Kansas City Royals,Los Angeles Angels,3 - 2
159,2,14/04/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Cleveland Indians,0 - 2
160,2,14/04/2021 01:45,Oracle Park,San Francisco Giants,Cincinnati Reds,7 - 6
161,2,14/04/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,7 - 0
162,3,14/04/2021 17:07,TD Ballpark,Toronto Blue Jays,New York Yankees,5 - 4
163,3,14/04/2021 17:15,Busch Stadium,St. Louis Cardinals,Washington Nationals,0 - 6
164,3,14/04/2021 17:40,American Family Field,Milwaukee Brewers,Chicago Cubs,7 - 0
165,3,14/04/2021 18:10,Kauffman Stadium,Kansas City Royals,Los Angeles Angels,6 - 1
166,3,14/04/2021 18:10,Target Field,Minnesota Twins,Boston Red Sox,2 - 3
167,3,14/04/2021 18:15,Target Field,Minnesota Twins,Boston Red Sox,1 - 7
168,3,14/04/2021 19:45,Oracle Park,San Francisco Giants,Cincinnati Reds,3 - 0
169,3,14/04/2021 22:35,PNC Park,Pittsburgh Pirates,San Diego Padres,5 - 1
170,3,14/04/2021 23:10,Minute Maid Park,Houston Astros,Detroit Tigers,4 - 6
171,3,14/04/2021 23:10,Tropicana Field,Tampa Bay Rays,Texas Rangers,1 - 5
172,3,14/04/2021 23:10,Citi Field,New York Mets,Philadelphia Phillies,5 - 1
173,3,14/04/2021 23:20,Truist Park,Atlanta Braves,Miami Marlins,5 - 6
174,3,15/04/2021 00:10,Guaranteed Rate Field,Chicago White Sox,Cleveland Indians,8 - 0
175,3,15/04/2021 02:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,4 - 2
176,3,15/04/2021 16:20,Truist Park,Atlanta Braves,Miami Marlins,7 - 6
177,3,15/04/2021 16:35,PNC Park,Pittsburgh Pirates,San Diego Padres,3 - 8
